"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA-20841";"20841";"Hängebirke";"Heilbronn";"Böckingen";"Alt-Böckingen - Ost";"Blumhardtstraße";"01.01.72";"52";"513922.579";"5442485.440"
"BKA-20843";"20843";"Götterbaum";"Heilbronn";"Böckingen";"Alt-Böckingen - Ost";"Blumhardtstraße";"01.01.57";"67";"513945.671";"5442481.940"
"BKA-66794";"66794";"Schmalblättrige Esche";"Heilbronn";"Böckingen";"Alt-Böckingen - Ost";"Klingenberger Straße";"01.01.99";"25";"513994.950";"5442489.337"
"BKA-63568";"63568";"Schmalblättrige Esche";"Heilbronn";"Böckingen";"Alt-Böckingen - Ost";"Klingenberger Straße";"01.01.92";"32";"513991.949";"5442468.445"
"BKA-20977";"20977";"Gemeine Hainbuche";"Heilbronn";"Böckingen";"Alt-Böckingen - Ost";"Klingenberger Straße";"01.01.83";"41";"513996.146";"5442456.750"
"BKA-61398";"61398";"Weißrindige Himalaja-Birke";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heckenstraße";"01.01.90";"34";"513299.026";"5442490.449"
"BKA-61396";"61396";"Weißrindige Himalaja-Birke";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heckenstraße";"01.01.95";"29";"513334.109";"5442497.837"
"BKA-61395";"61395";"Weißrindige Himalaja-Birke";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heckenstraße";"01.01.95";"29";"513341.805";"5442499.234"
"BKA-61299";"61299";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Längelterrain";"01.01.85";"39";"513260.167";"5442452.240"
"BKA-61506";"61506";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513175.780";"5442394.303"
"BKA-61377";"61377";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513356.601";"5442218.867"
"BKA-61376";"61376";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513360.607";"5442338.816"
"BKA-61375";"61375";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513272.146";"5442393.596"
"BKA-61341";"61341";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513113.301";"5442410.101"
"BKA-61354";"61354";"gemischter Bestand";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Tiefer Weg";"01.01.00";"124";"513202.559";"5442210.470"
"BKA-61295";"61295";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513202.563";"5442260.352"
"BKA-61296";"61296";"Reinbestand (Laubbaum)";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513170.872";"5442229.765"
"BKA-61349";"61349";"gemischter Bestand";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Tiefer Weg";"01.01.95";"29";"513233.745";"5442169.983"
"BKA~BAUM-8035";"76357";"Birne - Große Rommelter";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513231.360";"5442415.890"
"BKA~BAUM-8034";"76356";"Birne - Palmischbirne";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513221.064";"5442418.990"
"BKA~BAUM-8033";"76355";"Birne - Klupperte Birne";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513211.068";"5442418.191"
"BKA~BAUM-8032";"76354";"Birne - Kirchensaller Mostbirne";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513205.270";"5442410.695"
"BKA~BAUM-8031";"76353";"Birne - Grüne Jagdbirne";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513207.269";"5442400.998"
"BKA~BAUM-8030";"76352";"Birne - Geddelsbacher Mostbirne";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513212.767";"5442391.701"
"BKA~BAUM-8029";"76351";"Birne - Stuttgarter Geißhirtle";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.07";"17";"513222.264";"5442384.404"
"BKA-61335";"61335";"Silber-Weide";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513166.162";"5442260.361"
"BKA-11938";"11938";"Vogel-Kirsche";"Heilbronn";"Böckingen";"Alt-Böckingen - West";"Heuchelbergstraße";"01.01.85";"39";"513316.027";"5442327.924"
