Bodenrichtwertnummer,Ortsteil,Bodenrichtwert,Stichtag des Bodenrichtwerts,Entwicklungszustand,Art der Nutzung,Ergänzung zur Art der Nutzung,Wertrelevante Geschossflächenzahl,Bemerkungen,Bodenrichtwertzonenname,Koordinaten (formatiert),X-Koordinate,Y-Koordinate,Höhe (Z-Koordinate),EPSG-Code
9148030,Horkheim,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Baumwiese,"512.529,482 / 5.439.238,419 (EPSG: 25832)",512529482,5439238419,,25832
9148170,Horkheim,160,01.01.23,B,W,ASB,,,Wohnen Außen,"511.531,267 / 5.438.867,571 (EPSG: 25832)",511531267,5438867571,,25832
9148930,Horkheim,60,01.01.23,B,G,ASB,,,Gewerbe Außen,"511.852,571 / 5.439.864,311 (EPSG: 25832)",511852571,5439864311,,25832
9148060,Horkheim,0.6,01.01.23,LF,F,,,ohne Aufwuchs,Wald,"512.132,298 / 5.439.387,671 (EPSG: 25832)",512132298,5439387671,,25832
9148070,Horkheim,16,01.01.23,SF,FGA,,,,Garten-/Erholungsfläche,"512.165,730 / 5.439.909,203 (EPSG: 25832)",512165730,5439909203,,25832
9148010,Horkheim,4.1,01.01.23,LF,A,,,,Acker,"511.769,008 / 5.439.639,522 (EPSG: 25832)",511769008,5439639522,,25832
9148020,Horkheim,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"512.832,133 / 5.439.534,770 (EPSG: 25832)",512832133,5439534770,,25832
9148050,Horkheim,9.5,01.01.23,LF,WG,,,ohne Steilhanglagen,Weinberg,"511.655,341 / 5.438.464,959 (EPSG: 25832)",511655341,5438464959,,25832
9148920,Horkheim,8,01.01.23,SF,AB,STN,,,Steinbruch,"513.074,999 / 5.438.589,006 (EPSG: 25832)",513074999,5438589006,,25832
9101016,Heilbronn,9.5,01.01.23,LF,A,,,,Acker,"516.652,146 / 5.446.200,962 (EPSG: 25832)",516652146,5446200962,,25832
9101059,Heilbronn,11.5,01.01.23,LF,WG,,,ohne Steilhanglagen,"Weinberg S, W, O","516.902,146 / 5.446.020,962 (EPSG: 25832)",516902146,5446020962,,25832
9103915,Sontheim,60,01.01.23,B,G,ASB,,,Gewerbe außen,"513.854,968 / 5.439.567,086 (EPSG: 25832)",513854968,5439567086,,25832
9103804,Sontheim,160,01.01.23,B,W,ASB,,,Wohnen außen,"513.839,150 / 5.439.750,129 (EPSG: 25832)",513839150,5439750129,,25832
9103032,Sontheim,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche,"513.279,351 / 5.439.938,029 (EPSG: 25832)",513279351,5439938029,,25832
9103074,Sontheim,20,01.01.23,SF,FGA,,,westlich Lauffener Straße,"Garten-/Freizeitgrundstücke, westlich La","513.224,657 / 5.440.061,091 (EPSG: 25832)",513224657,5440061091,,25832
9103011,Sontheim,4.7,01.01.23,LF,A,,,,Acker,"513.276,616 / 5.439.866,926 (EPSG: 25832)",513276616,5439866926,,25832
9103020,Sontheim,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"514.487,479 / 5.439.958,572 (EPSG: 25832)",514487479,5439958572,,25832
9103031,Sontheim,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche,"514.657,037 / 5.440.235,549 (EPSG: 25832)",514657037,5440235549,,25832
9103010,Sontheim,4.7,01.01.23,LF,A,,,,Acker,"514.385,596 / 5.439.746,133 (EPSG: 25832)",514385596,5439746133,,25832
9103071,Sontheim,21,01.01.23,SF,FGA,,,"zwischen Lauffener Str. und L 1100, verkehrsbelastet","Garten-/Freizeitgrundstücke, zw Lauffene","515.107,356 / 5.440.145,526 (EPSG: 25832)",515107356,5440145526,,25832
9103805,Sontheim,160,01.01.23,B,W,ASB,,,Wohnen außen,"513.432,210 / 5.440.201,490 (EPSG: 25832)",513432210,5440201490,,25832
9103916,Sontheim,60,01.01.23,B,G,ASB,,,Gewerbe außen,"513.175,145 / 5.439.578,992 (EPSG: 25832)",513175145,5439578992,,25832
9103021,Sontheim,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"513.298,494 / 5.439.804,028 (EPSG: 25832)",513298494,5439804028,,25832
9103070,Sontheim,24,01.01.23,SF,FGA,,,zwischen L 1100 und L 1111,"Garten-/Freizeitgr, zwischen L 1100 und","515.987,186 / 5.440.001,389 (EPSG: 25832)",515987186,5440001389,,25832
9101076,Heilbronn,26,01.01.23,SF,FGA,,,,"FGA Süd,Ost","516.599,245 / 5.440.576,810 (EPSG: 25832)",516599245,5440576810,,25832
9101077,Heilbronn,19,01.01.23,SF,FGA,,,,FGA verkehrsbelastet Staufenberger Weg,"516.231,398 / 5.440.519,973 (EPSG: 25832)",516231398,5440519973,,25832
9101993,Heilbronn,60,01.01.23,B,G,ASB,,,Gewerbe außen,"519.027,146 / 5.443.200,962 (EPSG: 25832)",519027146,5443200962,,25832
9103051,Sontheim,11.5,01.01.23,LF,WG,,,ohne Steilhanglagen,"Weinberg, Süd, West, Ost","516.557,910 / 5.439.819,770 (EPSG: 25832)",516557910,5439819770,,25832
9103914,Sontheim,60,01.01.23,B,G,ASB,,,Gewerbe außen,"516.002,631 / 5.440.243,027 (EPSG: 25832)",516002631,5440243027,,25832
9101075,Heilbronn,26,01.01.23,SF,FGA,,,,FGA Ost,"518.447,395 / 5.441.862,151 (EPSG: 25832)",518447395,5441862151,,25832
9101994,Heilbronn,60,01.01.23,B,G,,,,Gewerbe außen,"516.827,146 / 5.440.260,962 (EPSG: 25832)",516827146,5440260962,,25832
