Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA~BAUM-895,69632,Apfelbaumart,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Rößwiesen,01.01.90,34,509388708,5446797672
BKA-686,686,Sommer-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.52,72,508179187,5447672112
BKA-679,679,Sommer-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.54,70,508193783,5447707904
BKA~BAUM-3328,71812,Gemeine Hainbuche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,,,508179401,5447736327
BKA~BAUM-3329,71813,Gemeine Hainbuche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,,,508178720,5447734621
BKA-701,701,Sommer-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.51,73,508191284,5447636921
BKA-707,707,Kaiser-Linde `Pallida`,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.38,86,508193486,5447604227
BKA-628,628,Holländische - Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.58,66,508165497,5447595726
BKA-709,709,Kaiser-Linde `Pallida`,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.60,64,508182193,5447583230
BKA-699,699,Tibet-Kirsche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.92,132,508209477,5447637522
BKA-673,673,Holländische - Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.43,81,508225273,5447699108
BKA-664,664,Winter-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.37,87,508217566,5447702467
BKA-698,698,Schwedische Mehlbeere,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.38,86,508211477,5447644721
BKA-663,663,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.72,52,508211548,5447705836
BKA-696,696,Blut-Buche (Sämling),Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.90,134,508196682,5447650818
BKA-691,691,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.66,58,508211277,5447671014
BKA-662,662,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.72,52,508206179,5447707305
BKA-695,695,Kaiser-Linde `Pallida`,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.38,86,508214875,5447655009
BKA-689,689,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.65,59,508201980,5447671214
BKA-705,705,Sommer-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.39,85,508194584,5447619824
BKA-687,687,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.65,59,508192683,5447674812
BKA-694,694,Kaiser-Linde `Pallida`,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.46,78,508210377,5447662016
BKA-685,685,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.78,46,508185815,5447677701
BKA-672,672,Sommer-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.45,79,508231770,5447694909
BKA-706,706,Tibet-Kirsche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.23,101,508198084,5447613126
BKA-684,684,Holländische - Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.66,58,508192443,5447686089
BKA-674,674,Krim-Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.64,60,508220374,5447691710
BKA-700,700,Kaiser-Linde `Pallida`,Heilbronn,Kirchhausen,Kirchhausen - Südost,Wormser Straße,01.01.39,85,508205879,5447631123
BKA-683,683,Holländische - Linde,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schlossstraße,01.01.56,68,508187384,5447691208
BKA-1366,1366,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Mühlberg,01.01.68,56,509421062,5447387473
BKA-1364,1364,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Mühlberg,01.01.68,56,509404965,5447299285
BKA-1365,1365,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Mühlberg,01.01.68,56,509400165,5447277315
BKA-1361,1361,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Mühlberg,01.01.68,56,509415113,5447354418
BKA-65926,65926,Stiel-Eiche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.70,54,508513697,5447305906
BKA-65925,65925,Stiel-Eiche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.70,54,508518446,5447299229
BKA-65931,65931,Stiel-Eiche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.70,54,508534144,5447265374
BKA-65921,65921,Gewöhnliche Roßkastanie,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.60,64,508571407,5447230291
BKA-65847,65847,Hängebirke,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.37,87,508570305,5447211800
BKA-65923,65923,Reinbestand (Laubbaum),Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,,,508545077,5447267001
BKA-65849,65849,Reinbestand (Laubbaum),Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,,,508516988,5447285605
BKA-67688,67688,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.06,18,508519363,5447217288
BKA-67689,67689,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.06,18,508526161,5447220388
BKA-67687,67687,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.06,18,508515664,5447221887
BKA-67686,67686,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.06,18,508507067,5447222386
BKA-65478,65478,Berg-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Südost,Sinsheim/Mainhardt,01.01.70,54,508896902,5447447117
BKA~BAUM-2446,71085,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Östliches Feld,Beim Sankt-Anna-Kreuz,01.01.68,56,509460069,5446579747
BKA-66992,66992,Spitz-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Nordost,Annalindestraße,01.01.99,25,508922469,5447790975
BKA-1161,1161,Winter-Linde,Heilbronn,Kirchhausen,Kirchhausen - Nordost,Annalindestraße,01.01.85,39,508976841,5447895828
BKA-1162,1162,Winter-Linde,Heilbronn,Kirchhausen,Kirchhausen - Nordost,Annalindestraße,01.01.85,39,508984336,5447906723
BKA-612,612,Spitz-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Nordost,Wendelinstraße,01.01.70,54,508861541,5447874528
BKA-50030,50030,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.90,34,507570333,5447944593
BKA-625,625,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.60,64,507935278,5447653819
BKA-305,305,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.60,64,507912968,5447657419
BKA-304,304,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.60,64,507906969,5447645653
BKA-299,299,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.60,64,507766643,5447666113
BKA-266,266,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.75,49,507573131,5447940495
BKA-50029,50029,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.90,34,507570333,5447944593
BKA-272,272,Pyramiden-Hainbuche,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.89,35,507591561,5447943586
BKA-298,298,Ahornblättrige Platane,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.50,74,507746951,5447667712
BKA-300,300,Ahornblättrige Platane,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.50,74,507786835,5447664814
BKA-301,301,Baum-Hasel,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.60,64,507814024,5447661816
BKA-303,303,Ahornblättrige Platane,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Wormser Straße,01.01.50,74,507887996,5447647024
BKA-268,268,Ahornblättrige Platane,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Bensheimer Straße,01.01.50,74,507609909,5447880522
BKA-267,267,Ahornblättrige Platane,Heilbronn,Kirchhausen,Kirchhausen - Südwest,Bensheimer Straße,01.01.50,74,507582720,5447881320
BKA~BAUM-7438,75684,Scharlachapfel,Heilbronn,Kirchhausen,Kirchhausen - Nordwest,Wimpfener Weg,01.01.06,18,507778531,5447979782
BKA-115,115,Feld-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Westliches Feld,Schlossstraße,01.01.70,54,507566330,5448255379
BKA-132,132,Berg-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Westliches Feld,Schlossstraße,01.01.70,54,507622906,5448202796
BKA-134,134,Berg-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Westliches Feld,Schlossstraße,01.01.70,54,507630702,5448198698
BKA~BAUM-1211,69964,Flügelnuß,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.70,54,508584393,5447223852
BKA-65927,65927,Stiel-Eiche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.83,41,508509308,5447312584
BKA-65929,65929,Stiel-Eiche,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.63,61,508505790,5447307305
BKA-67685,67685,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.07,17,508494870,5447223186
BKA-67684,67684,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.07,17,508486673,5447223585
BKA-67683,67683,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.07,17,508478076,5447224385
BKA-67680,67680,Kultur-Mandel,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenwiesen,01.01.07,17,508469179,5447224785
BKA-65477,65477,Berg-Ahorn,Heilbronn,Kirchhausen,Kirchhausen - Südost,Sinsheim/Mainhardt,01.01.70,54,508888904,5447449616
BKA~BAUM-1212,69965,Walnuß,Heilbronn,Kirchhausen,Kirchhausen - Südost,Schulbrunnenweg,01.01.20,104,508615035,5447203711
