x,y
508588.9103728972,5450792.2622103579
508732.8066877332,5450651.1669350602
509283.7563255998,5450707.3892199481
509929.2853411818,5450588.5044783419
510598.4710102706,5450634.1267762333
510936.6734741222,5450627.0053657414
511401.1813414528,5450458.4248673432
511633.9178108990,5450424.1525129573
511628.1127789778,5450267.0079061883
511718.6095090738,5450095.8196019027
511905.9498732206,5450080.6269258540
511993.9098075772,5448849.8955591451
512812.7833152530,5448922.1201712955
512821.0468621674,5448791.3390955608
513567.2890825390,5448700.1781019503
514448.7332800696,5448390.0435426803
514865.1111584458,5448325.4945288738
515114.5753814136,5448355.6491547171
515224.2425731168,5448217.7739296407
515406.9585001526,5448341.8916576104
515508.3052938360,5448357.2990485933
515731.4250190962,5447847.4004543545
515967.8342145978,5447707.8013010425
516098.6223601370,5446439.2647657748
516353.9049947280,5446476.4556457251
516661.1397605066,5446368.6797125582
516999.9847060944,5446329.5554414792
517121.9370188028,5446382.0398073317
517200.7083481640,5446344.6338527277
517380.9476300086,5445743.2053337749
517459.5562110138,5445713.7972384179
517973.6727864654,5445810.2498465171
518154.0308832634,5445793.9090869119
518214.8673679536,5445556.1095629362
518534.4230408112,5445582.4657341130
518638.0895131596,5445646.7141000209
518784.5985756538,5445622.6845085584
518894.8719800838,5445215.8641135544
519003.4314835930,5445189.0637081424
519147.7354482044,5444780.9345902074
518555.5562974972,5444584.5047813980
518608.4686103776,5444149.9012670955
518739.6806394704,5443992.5430877078
519041.4959920368,5444003.6705213748
519186.5508507430,5443755.5807735324
519531.6676804316,5443653.5708750756
519649.3712397548,5443668.9615038782
519862.1738164964,5443532.2612923076
519774.4377420028,5443124.4266748922
519962.3333513486,5443032.2271518605
520296.9009731742,5442759.9797932487
520192.4554701982,5442534.8315222617
520285.3568806580,5442441.7044094950
520340.3183428008,5442246.7945577828
520248.9707399244,5442016.9121074425
520221.8224102478,5441728.3251368385
520259.9045260514,5441478.0667814091
520020.7714364852,5441138.1734684668
520060.0587045864,5441074.9629408289
520169.8124163616,5440989.1793997576
520450.1104975340,5440926.8585952027
520817.7945987728,5440895.3137192745
521114.5076247138,5440763.3165285354
521497.5581126296,5440763.0856915619
521680.6731114012,5440807.8047789512
521755.5375595760,5440716.3120847596
521931.8700993918,5440207.8279241156
521548.7759378488,5440013.0362497298
521406.7368315354,5440014.1556595061
521311.0551941796,5440047.2188797751
521125.8990443100,5440210.8102015061
520843.8057435436,5440289.7643265296
520599.0198495786,5440192.7927373555
520307.0966200768,5440006.3222677391
520187.3714236216,5440038.2928591426
519633.6573221766,5439860.1684704367
519627.7933658430,5439607.0208165497
519388.0625257804,5439543.1490296610
519178.4610875562,5439620.9042686559
519084.9964922970,5439594.0044674454
518962.9978891702,5439642.5339977080
518657.7591857196,5439603.3345049545
518481.4157644804,5439520.7459826674
518450.5203617330,5439269.0909524309
518734.4334884298,5439077.8325295039
518503.5589720370,5439021.1403402248
517497.7575024938,5439153.7368077179
516950.1615533282,5439278.6317759361
516599.1256198060,5439278.5032303473
516403.6553459598,5439497.5576559817
515880.5648230568,5439449.9280434716
515802.1710401956,5439567.3486918071
515739.5513671692,5439942.1187503748
514902.3586244242,5440026.3183784829
514765.5834126310,5439984.3366041286
514359.3054415628,5439356.0112094106
514146.3156939362,5439468.4964599796
514100.4529477548,5439199.7339258241
513983.7364519458,5439234.3657385493
513911.9005959048,5438979.8783082059
513428.0282270394,5438971.0429524714
513385.4759760476,5439047.1862252764
513192.5146069226,5439044.2636766490
512847.9731048852,5439118.2678042324
512825.8834573164,5438925.7980637690
512858.4148720162,5438801.4461438432
512956.5600957682,5438696.4301744290
513099.1019626214,5438621.3198320763
513036.5163441556,5438453.0299802991
512960.2959307516,5438463.4816595139
512970.9647791766,5438184.6696634199
512767.2720116658,5438168.5271954071
512762.4617653342,5437962.4083669009
512644.8847398652,5437941.0159045560
512574.2635634358,5438069.5932446802
512460.8478653650,5438040.2844410148
512323.9775956558,5437836.4810418058
511986.8938871636,5438035.6473969333
511784.8870337890,5437805.3615715876
511677.8493356026,5437864.0450612148
511441.8638771314,5438083.5690089418
511143.1259222560,5438462.5324395429
510966.8982222014,5438816.9853752479
510919.6946122836,5439220.0684442353
510931.5477221202,5439522.3425026406
510895.1519369996,5439541.6043357374
510959.8271276482,5439755.6410915256
511068.7324022022,5439858.1699851220
510793.7404752566,5439954.5875052251
510640.3861548488,5440069.4810604276
510517.6014685182,5440304.0100308824
510390.0872760946,5440279.4132642625
510327.0370689002,5440478.1534050647
510201.3304900816,5440465.2899010964
510201.0694864412,5440608.1762876911
509935.7270631282,5440835.2339163395
509929.6940658288,5440935.1228939742
509571.3172364988,5441393.8857061425
509601.9419378102,5441412.5110792043
509602.5201381506,5441531.5371933281
509716.4053551524,5441537.8551876340
509716.2163527102,5441792.8823625874
510180.1451233520,5441848.3280232903
510283.7232191780,5442115.4681897731
510496.6270387808,5442219.8123071343
510857.9142950356,5442601.2094624629
510872.1060582484,5442788.5220052507
511046.2393746580,5442783.0631914223
511137.4940162444,5443016.9493342796
511375.4691378246,5443117.5227179825
511408.3288754644,5443375.4001810662
511572.6724126264,5443413.6726058647
511603.9077831268,5443595.3071086053
511708.2661918992,5443616.4822882283
511705.8775556336,5443733.9245280577
511523.8005666866,5443741.9012592845
511610.0576453452,5443975.6867758250
511711.1108048272,5443973.7415731596
511726.3404768930,5444110.0696855895
511316.0170541460,5444270.7466624156
511263.8825909958,5444178.6738139996
511164.8882240452,5444259.5689683668
511109.1099330188,5444191.7501607891
510649.2491259776,5444353.1957285739
510675.1182054574,5444654.7633702811
510255.9662968678,5444610.2304017404
510201.0777502266,5444850.1469597826
510058.5127217596,5444792.7622140292
510015.3534125094,5444880.2614881946
509725.3669927720,5444935.2290973552
509719.4889670670,5445224.0756338658
509801.7582742462,5445238.4515928179
509699.8568574616,5445693.0683589736
509581.7056507940,5445699.6652067574
509571.7833962440,5445941.4982168218
509467.7096470450,5445944.3809067579
509489.9821100754,5446176.8679785989
509402.9988179930,5446421.1338635916
508786.4101128596,5446445.5894652912
508375.3266221346,5446250.1937493449
508042.8839434858,5446220.4223636780
507247.2646305448,5446294.2355496464
507225.3402919756,5446486.8175073182
506650.5100880802,5446376.0962879583
506536.8803160936,5446700.8303648122
506386.3703959922,5446724.7688045679
506222.7957675428,5447095.4930810621
505975.9126868872,5447382.5083900448
505808.3233528358,5447361.0916598141
505788.1524478812,5447565.7121047080
505826.8828779716,5447726.5257398812
505797.0811335478,5447912.9475942412
505505.1755846490,5447856.9929854134
505435.8964394624,5448115.6220296603
505264.7132988066,5448025.1207281966
505097.8835839444,5448162.7436093055
504966.2906228598,5448338.0902674096
504593.6573782672,5448513.5259662205
504374.2505971260,5448728.0895667104
504069.1504524628,5448926.9043991026
504083.1522057484,5449123.2213917412
503589.8708091002,5449182.1783302696
503369.5404485906,5449245.6980959745
503242.4128505206,5449398.1318285447
503666.5721129758,5449442.7839562437
504107.1324189248,5449369.7501118649
504426.6077821782,5449545.2887063418
505827.7175415898,5449576.3684632061
507712.2164628988,5449247.1584842289
507954.7144751284,5449421.1235639760
507883.3006905012,5449784.7295930190
507879.1277427808,5449989.6786702443
507951.2663744408,5450278.1955047557
508128.3771419324,5450519.8416802920
508276.9180365186,5450641.8860755954
508327.3453676840,5450866.9509547651
508436.1356963794,5450878.1672972059
508588.9103728972,5450792.2622103579
