Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,,Y-Koordinate,
BKA-57207,57207,Holländische - Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.81,43,514902.089,514902089,5442321.995,5442321995
BKA-57219,57219,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.73,51,514869.6,514869600,5442353.883,5442353883
BKA-21429,21429,Gewöhnliche Roßkastanie,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.39,85,514872.2,514872200,5442337.49,5442337490
BKA~BAUM-3412,71900,Roßkastanie `Baumannii`,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.00,24,514874.3,514874300,5442329.993,5442329993
BKA-21430,21430,Gewöhnliche Roßkastanie,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.40,84,514879.198,514879198,5442322.996,5442322996
BKA-57198,57198,Ahornblättrige Platane,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.24,100,514887.195,514887195,5442329.593,5442329593
BKA-21428,21428,Ahornblättrige Platane,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.18,106,514882.696,514882696,5442338.789,5442338789
BKA-57215,57215,Ahornblättrige Platane,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.18,106,514878.896,514878896,5442347.785,5442347785
BKA-57217,57217,Ahornblättrige Platane,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.31,93,514873.797,514873797,5442359.28,5442359280
BKA-57213,57213,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.90,34,514898.688,514898688,5442350.483,5442350483
BKA-57212,57212,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.56,68,514902.287,514902287,5442345.185,5442345185
BKA-57211,57211,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.17,107,514904.987,514904987,5442334.39,5442334390
BKA-57210,57210,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.21,3,514908.186,514908186,5442332.49,5442332490
BKA-57209,57209,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.25,99,514906.787,514906787,5442328.692,5442328692
BKA-57208,57208,Ginkgobaum,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.90,34,514910.255,514910255,5442325.153,5442325153
BKA-57214,57214,Krim-Linde,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.81,43,514901.417,514901417,5442352.802,5442352802
BKA-20629,20629,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514699.861,514699861,5442666.56,5442666560
BKA-20630,20630,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514698.461,514698461,5442656.064,5442656064
BKA-20631,20631,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514696.962,514696962,5442646.168,5442646168
BKA-20670,20670,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514692.662,514692662,5442615.679,5442615679
BKA-20647,20647,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514691.363,514691363,5442605.683,5442605683
BKA-20656,20656,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514690.263,514690263,5442596.186,5442596186
BKA-20666,20666,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514688.963,514688963,5442586.99,5442586990
BKA-20781,20781,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514687.464,514687464,5442577.294,5442577294
BKA-20782,20782,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514686.064,514686064,5442566.398,5442566398
BKA-20783,20783,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514684.464,514684464,5442557.701,5442557701
BKA-21126,21126,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514680.765,514680765,5442538.608,5442538608
BKA-51126,51126,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,01.01.48,76,514738.341,514738341,5442237.726,5442237726
BKA-17290,17290,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514740.74,514740740,5442234.389,5442234389
BKA-17289,17289,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514741.141,514741141,5442229.929,5442229929
BKA-17167,17167,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514678.66,514678660,5442200.84,5442200840
BKA-17300,17300,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514718.647,514718647,5442223.231,5442223231
BKA-17302,17302,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514716.248,514716248,5442218.433,5442218433
BKA-17301,17301,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514713.749,514713749,5442221.032,5442221032
BKA-17304,17304,Bruch-Weide,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514712.722,514712722,5442217.126,5442217126
BKA-17305,17305,Haselnuß,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514704.752,514704752,5442214.235,5442214235
BKA-17335,17335,Zweigriffliger  Weißdorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514699.953,514699953,5442211.536,5442211536
BKA-17333,17333,Haselnuß,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514696.254,514696254,5442210.936,5442210936
BKA-17334,17334,Eschen-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514689.657,514689657,5442209.037,5442209037
BKA-31302,31302,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Luisenstraße,01.01.85,39,515782.1,515782100,5442587.712,5442587712
BKA-67315,67315,Pyramiden-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.65,59,515844.285,515844285,5442347.793,5442347793
BKA-67314,67314,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515844.975,515844975,5442352.171,5442352171
BKA-67316,67316,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515846.164,515846164,5442359.149,5442359149
BKA-67317,67317,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.63,61,515847.144,515847144,5442365.986,5442365986
BKA-67319,67319,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515849.593,515849593,5442381.13,5442381130
BKA-67318,67318,Silber-Pappel,Heilbronn,HN Innenstadt,Südstadt,Werderstraße,01.01.60,64,515848.554,515848554,5442374.802,5442374802
BKA-31298,31298,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515801.695,515801695,5442669.077,5442669077
BKA-31301,31301,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515772.004,515772004,5442585.313,5442585313
BKA-31300,31300,Baum-Hasel,Heilbronn,HN Innenstadt,Südstadt,Bergstraße,01.01.85,39,515766.206,515766206,5442587.712,5442587712
BKA-17361,17361,Feld-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514666.065,514666065,5442193.144,5442193144
BKA-17362,17362,Rot-Buche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514662.466,514662466,5442191.845,5442191845
BKA-17163,17163,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514653.47,514653470,5442186.048,5442186048
BKA-17164,17164,Rot-Buche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514650.171,514650171,5442184.15,5442184150
