Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,Y-Koordinate
BKA~BAUM-13103,85196,Walnuß,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515752371,5441982899
BKA~BAUM-13102,85195,Feld-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515741787,5441975064
BKA~BAUM-13101,85194,Feld-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515740159,5441973024
BKA~BAUM-13100,85192,Spitz-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515738874,5441972119
BKA~BAUM-13099,85191,Feld-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515732985,5441969139
BKA~BAUM-13098,85190,Feld-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515720222,5441958039
BKA~BAUM-13097,85189,Spitz-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515717478,5441956489
BKA~BAUM-13096,85188,Feld-Ahorn,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515713346,5441952963
BKA~BAUM-13095,85187,Walnuß,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515688377,5441935151
BKA~BAUM-13094,85186,Walnuß,Heilbronn,HN Äussere Bezirke,Südviertel,Marbach/Heilbronn-Karlstor,,,515682722,5441932407
BKA~BAUM-13093,85185,Reinbestand (Nadelbaum),Heilbronn,HN Äussere Bezirke,Südviertel,Gellertstraße,,,515412710,5441775797
BKA~BAUM-9566,78052,Freemanns - Ahorn `Celzam`( Celebration),Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,01.01.10,14,515847720,5441774873
BKA~BAUM-8402,76728,Schmalblättrige Ölweide,Heilbronn,HN Äussere Bezirke,Südviertel,Uferweg,01.01.08,16,515238276,5442382677
BKA~BAUM-7968,76272,Säulen - Ginkgo,Heilbronn,HN Äussere Bezirke,Südviertel,Sontheimer Straße,01.01.07,17,515798579,5442081677
BKA-27240,27240,Hängebirke,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515767303,5440850695
BKA-27238,27238,Hängebirke,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515763005,5440849196
BKA-27244,27244,Kirsch-Pflaume,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515763205,5440843598
BKA-27242,27242,Hängebirke,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515767603,5440846896
BKA-27241,27241,Fichtenart,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515770702,5440847196
BKA-27237,27237,Kirsch-Pflaume,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515736218,5440834202
BKA-27239,27239,Holländische - Linde,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515770402,5440851295
BKA-27243,27243,Hängebirke,Heilbronn,HN Äussere Bezirke,Südviertel,Charlottenstraße,,,515768902,5440842898
BKA-27272,27272,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515801586,5440898974
BKA-27273,27273,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515796889,5440890078
BKA-27251,27251,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.66,58,515788496,5440797715
BKA-27252,27252,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515787897,5440788218
BKA-27253,27253,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.66,58,515786698,5440775423
BKA-27259,27259,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.66,58,515785400,5440764527
BKA-27267,27267,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515802787,5440951151
BKA-27266,27266,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515802888,5440961746
BKA-27265,27265,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.05,19,515805488,5440971541
BKA-27264,27264,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515808089,5440981236
BKA-27256,27256,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.66,58,515810589,5440990432
BKA-27255,27255,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.88,36,515814158,5440999207
BKA-27269,27269,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515792290,5440945854
BKA-27268,27268,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515793991,5440953651
BKA-27270,27270,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515783194,5440898975
BKA-27271,27271,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.90,34,515782495,5440889079
BKA-26765,26765,Pyramiden-Pappel,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515851973,5441116576
BKA-26766,26766,Pyramiden-Pappel,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515852773,5441119075
BKA-54326,54326,Säulen-Hainbuche `Monument`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.93,31,515827786,5441024713
BKA-54327,54327,Säulen-Hainbuche `Monument`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.93,31,515828686,5441027611
BKA-54328,54328,Säulen-Hainbuche `Monument`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.93,31,515829486,5441030610
BKA-54329,54329,Säulen-Hainbuche `Monument`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.93,31,515830185,5441033809
BKA-54330,54330,Säulen-Hainbuche `Monument`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.93,31,515830885,5441037007
BKA-26724,26724,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.86,38,515825127,5441036378
BKA-26723,26723,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.91,33,515829485,5441049523
BKA-26722,26722,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515835482,5441068296
BKA-26721,26721,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.78,46,515837980,5441078392
BKA-26754,26754,Pyramiden-Pappel,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515843977,5441086788
BKA-26757,26757,Pyramiden-Pappel,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515845876,5441094285
BKA-26760,26760,Pyramiden-Pappel,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.71,53,515848875,5441104281
BKA-26720,26720,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.98,26,515840579,5441088388
BKA-26718,26718,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.03,21,515846376,5441107780
BKA-26717,26717,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.03,21,515848774,5441117076
BKA-26716,26716,Ahornblättrige Platane,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Charlottenstraße,01.01.98,26,515851473,5441127072
BKA~BAUM-8433,76777,Vogel-Kirsche,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lettenberg,01.01.08,16,515956360,5440584695
BKA~BAUM-11323,82725,Schwarznuß,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Ferdinand-Braun-Straße,,,516084279,5440792394
BKA~BAUM-11320,82716,Rot - Esche `Summit`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Ferdinand-Braun-Straße,,,515990288,5440840298
BKA~BAUM-9679,78165,Rot - Esche `Summit`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Ferdinand-Braun-Straße,01.01.10,14,515981627,5440872560
BKA~BAUM-9678,78164,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.10,14,515978764,5441014613
BKA~BAUM-9567,78053,Spitzahorn - Eurostar,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Max-Planck-Straße,01.01.10,14,516103682,5440937411
BKA~BAUM-8926,77330,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,516084587,5441011930
BKA~BAUM-8924,77328,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515996160,5440981573
BKA~BAUM-8923,77327,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515996640,5440970786
BKA~BAUM-8922,77326,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515986490,5440982554
BKA~BAUM-8921,77325,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515996516,5441005074
BKA~BAUM-8920,77324,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515995975,5440990702
BKA~BAUM-8919,77323,Rot - Esche `Summit`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Ferdinand-Braun-Straße,01.01.09,15,515989474,5440821463
BKA~BAUM-8917,77321,Rot - Esche `Summit`,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Ferdinand-Braun-Straße,01.01.09,15,515990969,5440861131
BKA~BAUM-8916,77320,Keithsform - Ahorn,Heilbronn,HN Äussere Bezirke,Südbhf. / John-F.-Kennedy-Siedlung,Lise-Meitner-Straße,01.01.09,15,515987223,5440991262
