"Baum ID";"Nr.";"Deutsche Bezeichnung";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Geburtsjahr";"Alter";"X-Koordinate";"Y-Koordinate"
"BKA~BAUM-13523";"85615";"Kirschenart";"Heilbronn";"Sontheim";"Sontheim - Ost";"Klamme";"";"";"515184.179";"5441285.175"
"BKA~BAUM-13524";"85616";"Reinbestand (Nadelbaum)";"Heilbronn";"Sontheim";"Sontheim - Ost";"Klamme";"";"";"515180.754";"5441280.128"
"BKA~BAUM-13525";"85617";"Stech-Fichte";"Heilbronn";"Sontheim";"Sontheim - Ost";"Klamme";"";"";"515273.760";"5441279.587"
"BKA~BAUM-13380";"85472";"Hausapfel";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515272.001";"5440377.273"
"BKA~BAUM-13379";"85471";"Reinbestand (Obstbaum)";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515248.687";"5440393.926"
"BKA~BAUM-13378";"85470";"Spitz-Ahorn  `Faassen's Black`";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515211.025";"5440388.033"
"BKA~BAUM-13377";"85469";"Kirschenart";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515216.405";"5440400.715"
"BKA~BAUM-13376";"85468";"Reinbestand (Laubbaum)";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515203.083";"5440401.612"
"BKA~BAUM-13375";"85467";"Reinbestand (Obstbaum)";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515228.447";"5440377.657"
"BKA~BAUM-13374";"85466";"Weidenart";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515188.479";"5440386.240"
"BKA~BAUM-13373";"85465";"Walnuß";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515191.298";"5440400.972"
"BKA~BAUM-13372";"85464";"Vogel-Kirsche";"Heilbronn";"Sontheim";"Stadtviertel 0055";"Kleines Feldle";"";"";"515180.025";"5440398.794"
"BKA~BAUM-12169";"84281";"Französischer Ahorn";"Heilbronn";"Sontheim";"Sontheim - Ost";"Béziersstraße";"";"";"515600.874";"5440470.549"
"BKA~BAUM-12156";"84268";"Freemans -  Ahorn`Autumn Blaze`";"Heilbronn";"Sontheim";"Sontheim - Ost";"Robert-Bosch-Straße";"";"";"515164.071";"5441324.304"
"BKA~BAUM-9658";"78144";"Französischer Ahorn";"Heilbronn";"Sontheim";"Sontheim - Ost";"Béziersstraße";"01.01.10";"14";"515543.314";"5440472.419"
"BKA~BAUM-8915";"77319";"Zierkirsche - Umineko";"Heilbronn";"Sontheim";"Sontheim - Ost";"Spemannstraße";"01.01.09";"15";"515417.026";"5440535.790"
"BKA~BAUM-8914";"77318";"Französischer Ahorn";"Heilbronn";"Sontheim";"Sontheim - Ost";"Béziersstraße";"01.01.09";"15";"515550.120";"5440463.493"
"BKA~BAUM-8905";"77309";"Stiel-Eiche";"Heilbronn";"Sontheim";"Sontheim - Ost";"Nach Flein";"01.01.09";"15";"515683.036";"5440525.175"
"BKA~BAUM-8269";"76600";"Feld - Ahorn Elsrijk";"Heilbronn";"Sontheim";"Sontheim - Ost";"Robert-Bosch-Straße";"01.01.04";"20";"515161.394";"5441316.147"
"BKA~BAUM-8252";"76583";"Zierkirsche - Umineko";"Heilbronn";"Sontheim";"Sontheim - Ost";"Spemannstraße";"01.01.07";"17";"515417.343";"5440512.662"
"BKA~BAUM-8251";"76582";"Französischer Ahorn";"Heilbronn";"Sontheim";"Sontheim - Ost";"Spemannstraße";"01.01.06";"18";"515534.512";"5440493.737"
"BKA~BAUM-8051";"76372";"Trauben-Kirsche";"Heilbronn";"Sontheim";"Sontheim - Ost";"Wertwiesen";"01.01.05";"19";"514748.225";"5442165.355"
"BKA~BAUM-8049";"76370";"Holländische - Linde";"Heilbronn";"Sontheim";"Sontheim - Ost";"Wertwiesen";"01.01.05";"19";"514778.018";"5442166.517"
"BKA~BAUM-8047";"76368";"Holländische - Linde";"Heilbronn";"Sontheim";"Sontheim - Ost";"Wertwiesen";"01.01.05";"19";"514775.611";"5442154.152"
"BKA~BAUM-7972";"76276";"Zierkirsche - Umineko";"Heilbronn";"Sontheim";"Sontheim - Ost";"Spemannstraße";"01.01.07";"17";"515465.074";"5440547.631"
"BKA~BAUM-6230";"74539";"Zerr-Eiche";"Heilbronn";"Sontheim";"Sontheim - Ost";"Staufenbergstraße";"01.01.05";"19";"515399.039";"5440447.147"
"BKA~BAUM-6225";"74534";"Zierkirsche - Umineko";"Heilbronn";"Sontheim";"Sontheim - Ost";"Eckenerstraße";"01.01.05";"19";"515206.202";"5440552.158"
"BKA~BAUM-1157";"69910";"Walnuß";"Heilbronn";"Sontheim";"Sontheim - Südliches Feld";"Schuttrain";"";"";"514288.515";"5440375.588"
"BKA-16123";"16123";"Japanischer Schnurbaum";"Heilbronn";"Sontheim";"Sontheim - Ost";"Kolpingstraße";"01.01.86";"38";"513948.636";"5440818.377"
"BKA-16122";"16122";"Japanischer Schnurbaum";"Heilbronn";"Sontheim";"Sontheim - Ost";"Kolpingstraße";"01.01.86";"38";"513959.148";"5440824.419"
"BKA-16121";"16121";"Japanischer Schnurbaum";"Heilbronn";"Sontheim";"Sontheim - Ost";"Kolpingstraße";"01.01.86";"38";"513962.247";"5440831.116"
"BKA-16120";"16120";"Japanischer Schnurbaum";"Heilbronn";"Sontheim";"Sontheim - Ost";"Kolpingstraße";"01.01.87";"37";"513962.247";"5440838.613"
"BKA-53274";"53274";"Pyramiden-Hainbuche";"Heilbronn";"Sontheim";"Sontheim - Ost";"Zwirnereistraße";"01.01.94";"30";"513961.148";"5440854.405"
"BKA-10258";"10258";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513793.599";"5440627.697"
"BKA-10261";"10261";"Apfel-Hybride";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513789.103";"5440612.205"
"BKA-10260";"10260";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513778.607";"5440614.704"
"BKA-10257";"10257";"Winter-Linde";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513778.793";"5440624.439"
"BKA-10255";"10255";"Winter-Linde";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513771.207";"5440626.799"
"BKA-10253";"10253";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.82";"42";"513745.418";"5440630.799"
"BKA-10250";"10250";"Apfel-Hybride";"Heilbronn";"Sontheim";"Alt - Sontheim";"Klingenstraße";"01.01.93";"31";"513730.821";"5440655.591"
"BKA-10297";"10297";"Japanischer Schnurbaum";"Heilbronn";"Sontheim";"Alt - Sontheim";"Auf dem Bau";"01.01.90";"34";"513856.470";"5440714.966"
"BKA-10269";"10269";"Winter-Linde";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.94";"30";"513807.797";"5440544.024"
"BKA-10266";"10266";"Götterbaum";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.83";"41";"513808.398";"5440563.019"
"BKA-10267";"10267";"Götterbaum";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.78";"46";"513812.386";"5440562.518"
"BKA-10264";"10264";"Thüringische Mehlbeere `Fastigiata`";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.84";"40";"513818.195";"5440579.013"
"BKA-10263";"10263";"Thüringische Mehlbeere `Fastigiata`";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.85";"39";"513819.295";"5440584.511"
"BKA-10262";"10262";"Kleinkronige Winter-Linde `Rancho`";"Heilbronn";"Sontheim";"Alt - Sontheim";"Deinenbachstraße";"01.01.86";"38";"513809.896";"5440612.704"
"BKA-10279";"10279";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.84";"40";"513825.191";"5440618.699"
"BKA-10296";"10296";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.87";"37";"513831.290";"5440620.498"
"BKA-10280";"10280";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.84";"40";"513837.982";"5440622.647"
"BKA-10237";"10237";"Holländische - Linde";"Heilbronn";"Sontheim";"Alt - Sontheim";"Görresstraße";"01.01.35";"89";"513820.791";"5440627.396"
"BKA-10236";"10236";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.78";"46";"513831.189";"5440627.495"
"BKA-10235";"10235";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.82";"42";"513836.987";"5440629.894"
"BKA-10234";"10234";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.82";"42";"513843.686";"5440628.794"
"BKA-10232";"10232";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.78";"46";"513863.381";"5440634.491"
"BKA-10230";"10230";"Dreidorniger Lederhülsenbaum";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.70";"54";"513897.463";"5440664.082"
"BKA-10226";"10226";"Dreidorniger Lederhülsenbaum";"Heilbronn";"Sontheim";"Alt - Sontheim";"Hauptstraße";"01.01.77";"47";"513902.758";"5440705.768"
"BKA-10224";"10224";"Ahornblättrige Platane";"Heilbronn";"Sontheim";"Sontheim - Ost";"Hauptstraße";"01.01.65";"59";"513918.453";"5440741.354"
"BKA-16062";"16062";"Ahornblättrige Platane";"Heilbronn";"Sontheim";"Sontheim - Ost";"Hauptstraße";"01.01.65";"59";"513923.954";"5440776.039"
"BKA-16059";"16059";"Ahornblättrige Platane";"Heilbronn";"Sontheim";"Sontheim - Ost";"Hauptstraße";"01.01.65";"59";"513927.455";"5440797.430"
"BKA-16058";"16058";"Ahornblättrige Platane";"Heilbronn";"Sontheim";"Sontheim - Ost";"Hauptstraße";"01.01.72";"52";"513931.256";"5440818.221"
"BKA-16179";"16179";"Ahornblättrige Platane";"Heilbronn";"Sontheim";"Sontheim - Ost";"Hauptstraße";"01.01.64";"60";"513921.154";"5440758.647"
"BKA-10222";"10222";"Apfeldorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Görresstraße";"01.01.77";"47";"513770.198";"5440720.058"
"BKA-10220";"10220";"Spitz-Ahorn";"Heilbronn";"Sontheim";"Alt - Sontheim";"Klingenstraße";"01.01.77";"47";"513753.805";"5440731.352"
"BKA-10286";"10286";"Trauben-Kirsche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Klingenstraße";"01.01.77";"47";"513763.901";"5440728.654"
"BKA-10238";"10238";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Görresstraße";"01.01.78";"46";"513819.889";"5440639.590"
"BKA-10240";"10240";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Görresstraße";"01.01.76";"48";"513809.990";"5440643.788"
"BKA-10243";"10243";"Baum-Hasel";"Heilbronn";"Sontheim";"Alt - Sontheim";"Görresstraße";"01.01.90";"34";"513808.588";"5440655.583"
"BKA-10156";"10156";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.77";"47";"513480.442";"5440677.196"
"BKA-10058";"10058";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.82";"42";"513332.500";"5440556.736"
"BKA-10057";"10057";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.95";"29";"513334.899";"5440565.534"
"BKA-10055";"10055";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.82";"42";"513345.275";"5440583.268"
"BKA-10056";"10056";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Mühläcker";"01.01.82";"42";"513340.997";"5440575.933"
"BKA-52285";"52285";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.96";"28";"513351.693";"5440592.231"
"BKA-10043";"10043";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Mühläcker";"01.01.72";"52";"513357.990";"5440600.129"
"BKA-10145";"10145";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.77";"47";"513520.421";"5440698.285"
"BKA-10147";"10147";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.72";"52";"513512.125";"5440693.888"
"BKA-10151";"10151";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.75";"49";"513500.032";"5440687.291"
"BKA-10152";"10152";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.77";"47";"513490.537";"5440682.593"
"BKA-10162";"10162";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.70";"54";"513465.249";"5440669.499"
"BKA-10157";"10157";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.73";"51";"513473.145";"5440673.697"
"BKA-10215";"10215";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.91";"33";"513455.753";"5440664.102"
"BKA-10168";"10168";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.77";"47";"513446.257";"5440659.603"
"BKA-10174";"10174";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.58";"66";"513429.063";"5440650.006"
"BKA-10175";"10175";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.67";"57";"513420.367";"5440645.908"
"BKA-9914";"9914";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.74";"50";"513410.270";"5440640.210"
"BKA-9916";"9916";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.58";"66";"513400.772";"5440635.895"
"BKA-9918";"9918";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.72";"52";"513393.398";"5440630.842"
"BKA-9920";"9920";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.70";"54";"513385.879";"5440626.316"
"BKA-9921";"9921";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.75";"49";"513377.683";"5440619.419"
"BKA-9922";"9922";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.54";"70";"513371.385";"5440613.822"
"BKA-9923";"9923";"Stiel-Eiche";"Heilbronn";"Sontheim";"Alt - Sontheim";"Alemannenstraße";"01.01.72";"52";"513364.988";"5440607.925"
